SampleRowID,StationCode,SampleDate,SampleTime,SampleID,GearConditionCode,SampleWeight,TrapSampleType,Cone,DepthAdjust,Q_SID,Velocity,Area_sq_ft,volume,Acre_feet
9582,gate 3,1/4/12,8:53,4_12,n,0.98125,N,1,47,12404,2.5,24,5086800,119.0082645
14341,gate 6,1/4/12,8:45,4_12,n,0.989583333,N,1,48,12404,4.1,24.6,8623530,200.0528926
16495,gate 7,1/4/12,10:03,4_12,n,1.054166667,N,1,48,12404,3.4,24.6,7617931.2,165.8975207
19059,gate 8,1/4/12,9:50,4_12,n,1.072916667,N,1,48,12404,3.3,24.6,7525386,161.0181818
9583,gate 3,1/5/12,8:27,5_12,n,0.91875,N,0.5,48,12490,2.3,24.6,4491320.4,56.11239669
16496,gate 7,1/5/12,9:52,5_12,n,0.911805556,N,0.5,47,12490,3.609375,24,6824317.5,85.90909091
19060,gate 8,1/5/12,8:37,5_12,n,0.894444444,N,0.5,47,12490,1.6,24,2967552,38.08264463
9584,gate 3,1/6/12,8:51,6_12,n,1.016666667,N,0.5,47,12481,1.9,24,4005504,45.2231405
16497,gate 7,1/6/12,8:29,6_12,n,0.942361111,N,0.5,49,12481,2.3,25.3,4737829.8,57.70909091
19061,gate 8,1/6/12,9:27,6_12,n,1.034722222,N,0.5,48,12481,1.9,24.6,4178556,46.35371901
9585,gate 3,1/7/12,8:51,7_12,n,0.995833333,N,0.5,47,12479,1.6,24,3303936,38.08264463
16498,gate 7,1/7/12,9:34,7_12,n,1.045138889,N,0.5,49,12479,3.5,25.3,7996065,87.81818182
19062,gate 8,1/7/12,10:09,7_12,n,1.029166667,N,0.5,46,12479,2.1,23.3,4350855.6,48.52561983
9586,gate 3,1/8/12,8:46,8_12,n,0.996527778,N,1,48,12460,2.3,24.6,4871538,112.2247934
16499,gate 7,1/8/12,9:39,8_12,n,1.003472222,N,0.5,,12460,2.9,,,
19063,gate 8,1/8/12,10:23,8_12,n,1.009722222,N,1,47,12460,1.9,24,3978144,90.44628099
9587,gate 3,1/9/12,9:50,9_12,n,1.044444444,N,1,48,12432,2.5,24.6,5549760,121.9834711
16500,gate 7,1/9/12,10:53,9_12,n,1.051388889,N,0.5,48,12432,1.7,24.6,3798928.8,41.47438017
19064,gate 8,1/9/12,11:57,9_12,n,1.065277778,N,1,47,12432,1,24,2208960,47.60330579
9588,gate 3,1/10/12,9:38,10_12,n,0.991666667,N,1,47,12333,2.079591837,24,4276306.286,98.99544611
14342,gate 6,1/10/12,8:33,10_12,n,0.918055556,N,0.5,47,12333,3.609375,24,6871095,85.90909091
16501,gate 7,1/10/12,10:32,10_12,n,0.985416667,N,0.5,48,12333,3.070666667,24.6,6431339.376,74.9141157
19065,gate 8,1/10/12,11:42,10_12,n,0.989583333,N,1,46,12333,2.463038079,23.3,4906741.31,113.8289995
9589,gate 3,1/11/12,8:12,11_12,nr,0.940277778,N,1,47,12196,2.121212121,24,4135854.545,100.9767092
14343,gate 6,1/11/12,9:00,11_12,n,1.01875,N,0.5,48,12196,3.344444444,24.6,7241698.8,81.59338843
16502,gate 7,1/11/12,10:14,11_12,n,0.9875,N,0.5,48,12196,2.868833333,24.6,6021313.956,69.99004959
19066,gate 8,1/11/12,11:03,11_12,n,0.972916667,N,1,48,12196,1.986376812,24.6,4107580.936,96.92205534
9590,gate 3,1/12/12,8:36,12_12,n,1.016666667,N,1,48,11911,2.087847222,24.6,4511553.9,101.8731405
14344,gate 6,1/12/12,10:10,12_12,n,1.048611111,N,0.5,47,11911,3.416875,24,7429653,81.32727273
16503,gate 7,1/12/12,11:32,12_12,n,0.927083333,N,1,48,11911,3.00575,24.6,5922710.145,146.6607273
19067,gate 8,1/12/12,12:33,12_12,n,1.0625,N,1,47,11911,1.811833333,24,3991831.2,86.2492562
9591,gate 3,1/13/12,8:36,13_12,n,1,N,1,48,11585,2.089659091,24.6,4441445.018,101.9615477
14345,gate 6,1/13/12,9:51,13_12,n,0.986805556,N,0.5,48,11585,3.512873134,24.6,7367886.06,85.70249167
16504,gate 7,1/13/12,11:34,13_12,n,1.001388889,N,1,48,11585,2.868541667,24.6,6105381.135,139.9658678
