Date,SID,Week,CC_diverted_flow_cfs,TC_diverted_flow_cfs
1/1/24,1,1,0,0
1/2/24,2,1,0,0
1/3/24,3,1,0,0
1/4/24,4,1,0,0
1/5/24,5,1,0,0
1/6/24,6,1,0,0
1/7/24,7,1,0,0
1/8/24,8,2,0,0
1/9/24,9,2,0,0
1/10/24,10,2,0,0
1/11/24,11,2,0,0
1/12/24,12,2,0,0
1/13/24,13,2,0,0
1/14/24,14,2,0,0
1/15/24,15,3,0,0
1/16/24,16,3,0,0
1/17/24,17,3,0,0
1/18/24,18,3,0,0
1/19/24,19,3,0,0
1/20/24,20,3,0,0
1/21/24,21,3,0,0
1/22/24,22,4,0,0
1/23/24,23,4,0,0
1/24/24,24,4,0,0
1/25/24,25,4,0,0
1/26/24,26,4,0,0
1/27/24,27,4,0,0
1/28/24,28,4,0,0
1/29/24,29,5,0,0
1/30/24,30,5,0,0
1/31/24,31,5,0,0
2/1/24,32,5,0,0
2/2/24,33,5,0,0
2/3/24,34,5,0,0
2/4/24,35,5,0,0
2/5/24,36,6,0,0
2/6/24,37,6,0,0
2/7/24,38,6,0,0
2/8/24,39,6,0,0
2/9/24,40,6,0,0
2/10/24,41,6,0,0
2/11/24,42,6,0,0
2/12/24,43,7,0,0
2/13/24,44,7,0,0
2/14/24,45,7,0,0
2/15/24,46,7,0,0
2/16/24,47,7,0,0
2/17/24,48,7,0,0
2/18/24,49,7,0,0
2/19/24,50,8,0,0
2/20/24,51,8,0,0
2/21/24,52,8,0,0
2/22/24,53,8,0,0
2/23/24,54,8,0,0
2/24/24,55,8,0,0
2/25/24,56,8,0,0
2/26/24,57,9,0,0
2/27/24,58,9,0,0
2/28/24,59,9,39,81
2/29/24,60,9,NA,NA
3/1/24,61,9,NA,NA
3/2/24,62,9,NA,NA
3/3/24,63,9,NA,NA
3/4/24,64,10,NA,NA
3/5/24,65,10,NA,NA
3/6/24,66,10,NA,NA
3/7/24,67,10,NA,NA
3/8/24,68,10,NA,NA
3/9/24,69,10,NA,NA
3/10/24,70,10,NA,NA
3/11/24,71,11,NA,NA
3/12/24,72,11,NA,NA
3/13/24,73,11,NA,NA
3/14/24,74,11,NA,NA
3/15/24,75,11,NA,NA
3/16/24,76,11,NA,NA
3/17/24,77,11,NA,NA
3/18/24,78,12,NA,NA
3/19/24,79,12,NA,NA
3/20/24,80,12,NA,NA
3/21/24,81,12,NA,NA
3/22/24,82,12,NA,NA
3/23/24,83,12,NA,NA
3/24/24,84,12,NA,NA
3/25/24,85,13,NA,NA
3/26/24,86,13,NA,NA
3/27/24,87,13,NA,NA
3/28/24,88,13,NA,NA
3/29/24,89,13,NA,NA
3/30/24,90,13,NA,NA
3/31/24,91,13,NA,NA
4/1/24,92,14,NA,NA
4/2/24,93,14,NA,NA
4/3/24,94,14,NA,NA
4/4/24,95,14,NA,NA
4/5/24,96,14,NA,NA
4/6/24,97,14,NA,NA
4/7/24,98,14,NA,NA
4/8/24,99,15,NA,NA
4/9/24,100,15,NA,NA
4/10/24,101,15,NA,NA
4/11/24,102,15,NA,NA
4/12/24,103,15,NA,NA
4/13/24,104,15,NA,NA
4/14/24,105,15,NA,NA
4/15/24,106,16,NA,NA
4/16/24,107,16,NA,NA
4/17/24,108,16,NA,NA
4/18/24,109,16,NA,NA
4/19/24,110,16,NA,NA
4/20/24,111,16,NA,NA
4/21/24,112,16,NA,NA
4/22/24,113,17,NA,NA
4/23/24,114,17,NA,NA
4/24/24,115,17,NA,NA
4/25/24,116,17,NA,NA
4/26/24,117,17,NA,NA
4/27/24,118,17,NA,NA
4/28/24,119,17,NA,NA
4/29/24,120,18,NA,NA
4/30/24,121,18,NA,NA
5/1/24,122,18,NA,NA
5/2/24,123,18,NA,NA
5/3/24,124,18,NA,NA
5/4/24,125,18,NA,NA
5/5/24,126,18,NA,NA
5/6/24,127,19,NA,NA
5/7/24,128,19,NA,NA
5/8/24,129,19,NA,NA
5/9/24,130,19,NA,NA
5/10/24,131,19,NA,NA
5/11/24,132,19,NA,NA
5/12/24,133,19,NA,NA
5/13/24,134,20,NA,NA
5/14/24,135,20,NA,NA
5/15/24,136,20,NA,NA
5/16/24,137,20,NA,NA
5/17/24,138,20,NA,NA
5/18/24,139,20,NA,NA
5/19/24,140,20,NA,NA
5/20/24,141,21,NA,NA
5/21/24,142,21,NA,NA
5/22/24,143,21,NA,NA
5/23/24,144,21,NA,NA
5/24/24,145,21,NA,NA
5/25/24,146,21,NA,NA
5/26/24,147,21,NA,NA
5/27/24,148,22,NA,NA
5/28/24,149,22,NA,NA
5/29/24,150,22,NA,NA
5/30/24,151,22,NA,NA
5/31/24,152,22,NA,NA
6/1/24,153,22,NA,NA
6/2/24,154,22,NA,NA
6/3/24,155,23,NA,NA
6/4/24,156,23,NA,NA
6/5/24,157,23,NA,NA
6/6/24,158,23,NA,NA
6/7/24,159,23,NA,NA
6/8/24,160,23,NA,NA
6/9/24,161,23,NA,NA
6/10/24,162,24,NA,NA
6/11/24,163,24,NA,NA
6/12/24,164,24,NA,NA
6/13/24,165,24,NA,NA
6/14/24,166,24,NA,NA
6/15/24,167,24,NA,NA
6/16/24,168,24,NA,NA
6/17/24,169,25,NA,NA
6/18/24,170,25,NA,NA
6/19/24,171,25,NA,NA
6/20/24,172,25,NA,NA
6/21/24,173,25,NA,NA
6/22/24,174,25,NA,NA
6/23/24,175,25,NA,NA
6/24/24,176,26,NA,NA
6/25/24,177,26,NA,NA
6/26/24,178,26,NA,NA
6/27/24,179,26,NA,NA
6/28/24,180,26,NA,NA
6/29/24,181,26,NA,NA
6/30/24,182,26,NA,NA
7/1/24,183,27,NA,NA
7/2/24,184,27,NA,NA
7/3/24,185,27,NA,NA
7/4/24,186,27,NA,NA
7/5/24,187,27,NA,NA
7/6/24,188,27,NA,NA
7/7/24,189,27,NA,NA
7/8/24,190,28,NA,NA
7/9/24,191,28,NA,NA
7/10/24,192,28,NA,NA
7/11/24,193,28,NA,NA
7/12/24,194,28,NA,NA
7/13/24,195,28,NA,NA
7/14/24,196,28,NA,NA
7/15/24,197,29,NA,NA
7/16/24,198,29,NA,NA
7/17/24,199,29,NA,NA
7/18/24,200,29,NA,NA
7/19/24,201,29,NA,NA
7/20/24,202,29,NA,NA
7/21/24,203,29,NA,NA
7/22/24,204,30,NA,NA
7/23/24,205,30,NA,NA
7/24/24,206,30,NA,NA
7/25/24,207,30,NA,NA
7/26/24,208,30,NA,NA
7/27/24,209,30,NA,NA
7/28/24,210,30,NA,NA
7/29/24,211,31,NA,NA
7/30/24,212,31,NA,NA
7/31/24,213,31,NA,NA
8/1/24,214,31,NA,NA
8/2/24,215,31,NA,NA
8/3/24,216,31,NA,NA
8/4/24,217,31,NA,NA
8/5/24,218,32,NA,NA
8/6/24,219,32,NA,NA
8/7/24,220,32,NA,NA
8/8/24,221,32,NA,NA
8/9/24,222,32,NA,NA
8/10/24,223,32,NA,NA
8/11/24,224,32,NA,NA
8/12/24,225,33,NA,NA
8/13/24,226,33,NA,NA
8/14/24,227,33,NA,NA
8/15/24,228,33,NA,NA
8/16/24,229,33,NA,NA
8/17/24,230,33,NA,NA
8/18/24,231,33,NA,NA
8/19/24,232,34,NA,NA
8/20/24,233,34,NA,NA
8/21/24,234,34,NA,NA
8/22/24,235,34,NA,NA
8/23/24,236,34,NA,NA
8/24/24,237,34,NA,NA
8/25/24,238,34,NA,NA
8/26/24,239,35,NA,NA
8/27/24,240,35,NA,NA
8/28/24,241,35,NA,NA
8/29/24,242,35,NA,NA
8/30/24,243,35,NA,NA
8/31/24,244,35,NA,NA
9/1/24,245,35,NA,NA
9/2/24,246,36,NA,NA
9/3/24,247,36,NA,NA
9/4/24,248,36,NA,NA
9/5/24,249,36,NA,NA
9/6/24,250,36,NA,NA
9/7/24,251,36,NA,NA
9/8/24,252,36,NA,NA
