RunDesignationLookUpID,RunDesignation,LookupDate,MinLength1,MaxLength1,MinLength2,MaxLength2,s_ColLineage,s_Generation,s_Lineage
{F5EAE7F7-6FA4-11D3-9889-00C04FF8FAEB},F,01/01,0,41,203,270,,1,
{F5EAE7F8-6FA4-11D3-9889-00C04FF8FAEB},F,01/02,0,41,204,270,,1,
{F5EAE7F9-6FA4-11D3-9889-00C04FF8FAEB},F,01/03,0,41,206,270,,1,
{F5EAE7FA-6FA4-11D3-9889-00C04FF8FAEB},F,01/04,0,41,207,270,,1,
{F5EAE7FB-6FA4-11D3-9889-00C04FF8FAEB},F,01/05,0,42,208,270,,1,
{F5EAE7FC-6FA4-11D3-9889-00C04FF8FAEB},F,01/06,0,42,210,270,,1,
{F5EAE7FD-6FA4-11D3-9889-00C04FF8FAEB},F,01/07,0,42,211,270,,1,
{F5EAE7FE-6FA4-11D3-9889-00C04FF8FAEB},F,01/08,0,43,212,270,,1,
{F5EAE7FF-6FA4-11D3-9889-00C04FF8FAEB},F,01/09,0,43,214,270,,1,
{F5EAE800-6FA4-11D3-9889-00C04FF8FAEB},F,01/10,0,43,215,270,,1,
{F5EAE801-6FA4-11D3-9889-00C04FF8FAEB},F,01/11,0,43,217,270,,1,
{F5EAE802-6FA4-11D3-9889-00C04FF8FAEB},F,01/12,0,44,218,270,,1,
{F5EAE803-6FA4-11D3-9889-00C04FF8FAEB},F,01/13,0,44,219,270,,1,
{F5EAE804-6FA4-11D3-9889-00C04FF8FAEB},F,01/14,0,44,221,270,,1,
{F5EAE805-6FA4-11D3-9889-00C04FF8FAEB},F,01/15,0,45,222,270,,1,
{F5EAE806-6FA4-11D3-9889-00C04FF8FAEB},F,01/16,0,45,224,270,,1,
{F5EAE807-6FA4-11D3-9889-00C04FF8FAEB},F,01/17,0,45,225,270,,1,
{F5EAE808-6FA4-11D3-9889-00C04FF8FAEB},F,01/18,0,45,227,270,,1,
{F5EAE809-6FA4-11D3-9889-00C04FF8FAEB},F,01/19,0,46,228,270,,1,
{F5EAE80A-6FA4-11D3-9889-00C04FF8FAEB},F,01/20,0,46,230,270,,1,
{F5EAE80B-6FA4-11D3-9889-00C04FF8FAEB},F,01/21,0,46,231,270,,1,
{F5EAE80C-6FA4-11D3-9889-00C04FF8FAEB},F,01/22,0,47,233,270,,1,
{F5EAE80D-6FA4-11D3-9889-00C04FF8FAEB},F,01/23,0,47,234,270,,1,
{F5EAE80E-6FA4-11D3-9889-00C04FF8FAEB},F,01/24,0,47,236,270,,1,
{F5EAE80F-6FA4-11D3-9889-00C04FF8FAEB},F,01/25,0,48,237,270,,1,
{F5EAE810-6FA4-11D3-9889-00C04FF8FAEB},F,01/26,0,48,239,270,,1,
{F5EAE811-6FA4-11D3-9889-00C04FF8FAEB},F,01/27,0,48,240,270,,1,
{F5EAE812-6FA4-11D3-9889-00C04FF8FAEB},F,01/28,0,49,242,270,,1,
{F5EAE813-6FA4-11D3-9889-00C04FF8FAEB},F,01/29,0,49,244,270,,1,
{F5EAE814-6FA4-11D3-9889-00C04FF8FAEB},F,01/30,0,49,245,270,,1,
{F5EAE815-6FA4-11D3-9889-00C04FF8FAEB},F,01/31,0,50,247,270,,1,
{F5EAE816-6FA4-11D3-9889-00C04FF8FAEB},F,02/01,0,50,248,270,,1,
{F5EAE817-6FA4-11D3-9889-00C04FF8FAEB},F,02/02,0,50,250,270,,1,
{F5EAE818-6FA4-11D3-9889-00C04FF8FAEB},F,02/03,0,50,252,270,,1,
{F5EAE819-6FA4-11D3-9889-00C04FF8FAEB},F,02/04,0,51,253,270,,1,
{F5EAE81A-6FA4-11D3-9889-00C04FF8FAEB},F,02/05,0,51,255,270,,1,
{F5EAE81B-6FA4-11D3-9889-00C04FF8FAEB},F,02/06,0,51,257,270,,1,
